Epoch 1 | Avg Dice Loss: 0.9518
Epoch 2 | Avg Dice Loss: 0.9196
Epoch 3 | Avg Dice Loss: 0.8964
Epoch 4 | Avg Dice Loss: 0.8893
Epoch 5 | Avg Dice Loss: 0.8762
Epoch 6 | Avg Dice Loss: 0.8695
Epoch 7 | Avg Dice Loss: 0.8664
Epoch 8 | Avg Dice Loss: 0.8639
Epoch 9 | Avg Dice Loss: 0.8555
Epoch 10 | Avg Dice Loss: 0.8572
Epoch 11 | Avg Dice Loss: 0.8513
Epoch 12 | Avg Dice Loss: 0.8576
Epoch 13 | Avg Dice Loss: 0.8411
Epoch 14 | Avg Dice Loss: 0.8582
Epoch 15 | Avg Dice Loss: 0.8476
Epoch 16 | Avg Dice Loss: 0.8430
Epoch 17 | Avg Dice Loss: 0.8389
Epoch 18 | Avg Dice Loss: 0.8413
Epoch 19 | Avg Dice Loss: 0.8399
Epoch 20 | Avg Dice Loss: 0.8413
Epoch 21 | Avg Dice Loss: 0.8319
Epoch 22 | Avg Dice Loss: 0.8365
Epoch 23 | Avg Dice Loss: 0.8605
Epoch 24 | Avg Dice Loss: 0.8386
Epoch 25 | Avg Dice Loss: 0.8217
Epoch 26 | Avg Dice Loss: 0.8299
Epoch 27 | Avg Dice Loss: 0.8125
Epoch 28 | Avg Dice Loss: 0.8269
Epoch 29 | Avg Dice Loss: 0.8180
Epoch 30 | Avg Dice Loss: 0.8065
Epoch 31 | Avg Dice Loss: 0.8078
Epoch 32 | Avg Dice Loss: 0.8151
Epoch 33 | Avg Dice Loss: 0.8015
Epoch 34 | Avg Dice Loss: 0.8174
Epoch 35 | Avg Dice Loss: 0.8124
Epoch 36 | Avg Dice Loss: 0.8036
Epoch 37 | Avg Dice Loss: 0.7971
Epoch 38 | Avg Dice Loss: 0.8048
Epoch 39 | Avg Dice Loss: 0.7960
Epoch 40 | Avg Dice Loss: 0.7853
Epoch 41 | Avg Dice Loss: 0.7775
Epoch 42 | Avg Dice Loss: 0.7874
Epoch 43 | Avg Dice Loss: 0.7764
Epoch 44 | Avg Dice Loss: 0.7721
Epoch 45 | Avg Dice Loss: 0.7938
Epoch 46 | Avg Dice Loss: 0.7773
Epoch 47 | Avg Dice Loss: 0.7718
Epoch 48 | Avg Dice Loss: 0.7626
Epoch 49 | Avg Dice Loss: 0.7641
Epoch 50 | Avg Dice Loss: 0.7761
