Epoch 1 | Avg Dice Loss: 0.8266
Epoch 2 | Avg Dice Loss: 0.3457
Epoch 3 | Avg Dice Loss: 0.2742
Epoch 4 | Avg Dice Loss: 0.2518
Epoch 5 | Avg Dice Loss: 0.2286
Epoch 6 | Avg Dice Loss: 0.2157
Epoch 7 | Avg Dice Loss: 0.2073
Epoch 8 | Avg Dice Loss: 0.1993
Epoch 9 | Avg Dice Loss: 0.1890
Epoch 10 | Avg Dice Loss: 0.1884
Epoch 11 | Avg Dice Loss: 0.1849
Epoch 12 | Avg Dice Loss: 0.1816
Epoch 13 | Avg Dice Loss: 0.1777
Epoch 14 | Avg Dice Loss: 0.1780
Epoch 15 | Avg Dice Loss: 0.1739
Epoch 16 | Avg Dice Loss: 0.1700
Epoch 17 | Avg Dice Loss: 0.1644
Epoch 18 | Avg Dice Loss: 0.1625
Epoch 19 | Avg Dice Loss: 0.1624
Epoch 20 | Avg Dice Loss: 0.1613
