Epoch 1 | Avg Dice Loss: 0.4968
Epoch 2 | Avg Dice Loss: 0.2482
Epoch 3 | Avg Dice Loss: 0.2194
Epoch 4 | Avg Dice Loss: 0.2004
Epoch 5 | Avg Dice Loss: 0.1933
Epoch 6 | Avg Dice Loss: 0.1887
Epoch 7 | Avg Dice Loss: 0.1737
Epoch 8 | Avg Dice Loss: 0.1672
Epoch 9 | Avg Dice Loss: 0.1571
Epoch 10 | Avg Dice Loss: 0.1488
Epoch 11 | Avg Dice Loss: 0.1482
Epoch 12 | Avg Dice Loss: 0.1390
Epoch 13 | Avg Dice Loss: 0.1398
Epoch 14 | Avg Dice Loss: 0.1259
Epoch 15 | Avg Dice Loss: 0.1302
Epoch 16 | Avg Dice Loss: 0.1244
Epoch 17 | Avg Dice Loss: 0.1185
Epoch 18 | Avg Dice Loss: 0.1102
Epoch 19 | Avg Dice Loss: 0.1082
Epoch 20 | Avg Dice Loss: 0.1096
