Epoch 1 | Avg Dice Loss: 1.0000
Epoch 2 | Avg Dice Loss: 0.9998
Epoch 3 | Avg Dice Loss: 0.9933
Epoch 4 | Avg Dice Loss: 0.9748
Epoch 5 | Avg Dice Loss: 0.8973
Epoch 6 | Avg Dice Loss: 0.6778
Epoch 7 | Avg Dice Loss: 0.4833
Epoch 8 | Avg Dice Loss: 0.4018
Epoch 9 | Avg Dice Loss: 0.3780
Epoch 10 | Avg Dice Loss: 0.3422
Epoch 11 | Avg Dice Loss: 0.3015
Epoch 12 | Avg Dice Loss: 0.2712
Epoch 13 | Avg Dice Loss: 0.2493
Epoch 14 | Avg Dice Loss: 0.2579
Epoch 15 | Avg Dice Loss: 0.2448
Epoch 16 | Avg Dice Loss: 0.2212
Epoch 17 | Avg Dice Loss: 0.2138
Epoch 18 | Avg Dice Loss: 0.2073
Epoch 19 | Avg Dice Loss: 0.2148
Epoch 20 | Avg Dice Loss: 0.2073
