Epoch 1 | Avg Dice Loss: 0.7626
Epoch 2 | Avg Dice Loss: 0.3251
Epoch 3 | Avg Dice Loss: 0.2450
Epoch 4 | Avg Dice Loss: 0.2317
Epoch 5 | Avg Dice Loss: 0.2265
Epoch 6 | Avg Dice Loss: 0.2044
Epoch 7 | Avg Dice Loss: 0.1919
Epoch 8 | Avg Dice Loss: 0.1822
Epoch 9 | Avg Dice Loss: 0.1754
Epoch 10 | Avg Dice Loss: 0.1724
Epoch 11 | Avg Dice Loss: 0.1607
Epoch 12 | Avg Dice Loss: 0.1529
Epoch 13 | Avg Dice Loss: 0.1482
Epoch 14 | Avg Dice Loss: 0.1350
Epoch 15 | Avg Dice Loss: 0.1305
Epoch 16 | Avg Dice Loss: 0.1305
Epoch 17 | Avg Dice Loss: 0.1330
Epoch 18 | Avg Dice Loss: 0.1290
Epoch 19 | Avg Dice Loss: 0.1169
Epoch 20 | Avg Dice Loss: 0.1172
