Epoch 1 | Avg Dice Loss: 0.9703
Epoch 2 | Avg Dice Loss: 0.9620
Epoch 3 | Avg Dice Loss: 0.9531
Epoch 4 | Avg Dice Loss: 0.9501
Epoch 5 | Avg Dice Loss: 0.9441
Epoch 6 | Avg Dice Loss: 0.9391
Epoch 7 | Avg Dice Loss: 0.9293
Epoch 8 | Avg Dice Loss: 0.9261
Epoch 9 | Avg Dice Loss: 0.9275
Epoch 10 | Avg Dice Loss: 0.9191
Epoch 11 | Avg Dice Loss: 0.9059
Epoch 12 | Avg Dice Loss: 0.8963
Epoch 13 | Avg Dice Loss: 0.8915
Epoch 14 | Avg Dice Loss: 0.8885
Epoch 15 | Avg Dice Loss: 0.8744
Epoch 16 | Avg Dice Loss: 0.8530
Epoch 17 | Avg Dice Loss: 0.8330
Epoch 18 | Avg Dice Loss: 0.8215
Epoch 19 | Avg Dice Loss: 0.8110
Epoch 20 | Avg Dice Loss: 0.7792
Epoch 21 | Avg Dice Loss: 0.7945
Epoch 22 | Avg Dice Loss: 0.7650
Epoch 23 | Avg Dice Loss: 0.7650
Epoch 24 | Avg Dice Loss: 0.7571
Epoch 25 | Avg Dice Loss: 0.7111
Epoch 26 | Avg Dice Loss: 0.7077
Epoch 27 | Avg Dice Loss: 0.6945
Epoch 28 | Avg Dice Loss: 0.6792
Epoch 29 | Avg Dice Loss: 0.7002
Epoch 30 | Avg Dice Loss: 0.6453
Epoch 31 | Avg Dice Loss: 0.6959
Epoch 32 | Avg Dice Loss: 0.6640
Epoch 33 | Avg Dice Loss: 0.7035
Epoch 34 | Avg Dice Loss: 0.6548
Epoch 35 | Avg Dice Loss: 0.6400
Epoch 36 | Avg Dice Loss: 0.6081
Epoch 37 | Avg Dice Loss: 0.5968
Epoch 38 | Avg Dice Loss: 0.5844
Epoch 39 | Avg Dice Loss: 0.5968
Epoch 40 | Avg Dice Loss: 0.6076
Epoch 41 | Avg Dice Loss: 0.5941
Epoch 42 | Avg Dice Loss: 0.5824
Epoch 43 | Avg Dice Loss: 0.5562
Epoch 44 | Avg Dice Loss: 0.5497
Epoch 45 | Avg Dice Loss: 0.5506
Epoch 46 | Avg Dice Loss: 0.5433
Epoch 47 | Avg Dice Loss: 0.5464
Epoch 48 | Avg Dice Loss: 0.5424
Epoch 49 | Avg Dice Loss: 0.5415
Epoch 50 | Avg Dice Loss: 0.5479
